contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL260206P00130000,AAPL,2026-02-06,130.00,put,0.08,0.01,0.00,0,0.01,1574,2,55,2026-02-04,3.23431,-0.00053,0.00003,-0.03118,0.00039,-0.00001
AAPL260206C00135000,AAPL,2026-02-06,135.00,call,134.70,141.77,139.95,1,143.60,1,0,9,2026-02-04,4.29770,0.99209,0.00025,-0.49030,0.00444,0.00726
AAPL260206P00135000,AAPL,2026-02-06,135.00,put,0.00,0.01,0.00,0,0.01,1566,0,0,2026-02-04,3.07822,-0.00056,0.00003,-0.03081,0.00040,-0.00001
AAPL260206C00140000,AAPL,2026-02-06,140.00,call,122.87,136.75,134.95,2,138.55,1,0,1,2026-02-04,4.04405,0.99232,0.00026,-0.45139,0.00433,0.00754
AAPL260206P00140000,AAPL,2026-02-06,140.00,put,0.00,0.01,0.00,0,0.01,1566,0,1272,2026-02-04,2.93188,-0.00059,0.00003,-0.03091,0.00042,-0.00001
AAPL260206C00145000,AAPL,2026-02-06,145.00,call,116.41,131.77,129.95,2,133.60,2,0,2,2026-02-04,3.89771,0.99139,0.00029,-0.48044,0.00478,0.00780
AAPL260206P00145000,AAPL,2026-02-06,145.00,put,0.01,0.01,0.00,0,0.01,729,5117,1013,2026-02-04,2.78554,-0.00061,0.00004,-0.03041,0.00044,-0.00001
AAPL260206C00150000,AAPL,2026-02-06,150.00,call,115.44,126.78,124.95,2,128.60,1,0,14,2026-02-04,3.73186,0.99068,0.00033,-0.49327,0.00513,0.00806
AAPL260206P00150000,AAPL,2026-02-06,150.00,put,0.00,0.01,0.00,0,0.41,66,0,3,2026-02-04,2.64896,-0.00065,0.00004,-0.03050,0.00046,-0.00001
AAPL260206C00155000,AAPL,2026-02-06,155.00,call,120.48,121.82,120.05,1,123.60,2,2,4,2026-02-04,3.61479,0.98920,0.00039,-0.54214,0.00583,0.00831
AAPL260206P00155000,AAPL,2026-02-06,155.00,put,0.00,0.01,0.00,0,0.30,66,0,1,2026-02-04,2.51238,-0.00067,0.00005,-0.03004,0.00048,-0.00001
AAPL260206C00160000,AAPL,2026-02-06,160.00,call,100.97,116.78,114.95,2,118.60,2,0,0,2026-02-04,3.37089,0.98977,0.00039,-0.48462,0.00557,0.00860
AAPL260206P00160000,AAPL,2026-02-06,160.00,put,0.01,0.01,0.00,0,0.01,1,1,0,2026-02-04,2.38555,-0.00072,0.00005,-0.03031,0.00051,-0.00001
AAPL260206C00165000,AAPL,2026-02-06,165.00,call,0.00,111.78,109.95,2,113.60,2,0,0,2026-02-04,3.19529,0.98932,0.00043,-0.47750,0.00578,0.00886
AAPL260206P00165000,AAPL,2026-02-06,165.00,put,0.00,0.01,0.00,0,0.04,56,0,29,2026-02-04,2.25873,-0.00076,0.00006,-0.03007,0.00053,-0.00001
AAPL260206C00170000,AAPL,2026-02-06,170.00,call,105.60,106.78,105.00,2,108.55,1,3,3,2026-02-04,3.02944,0.98875,0.00048,-0.47427,0.00604,0.00913
AAPL260206P00170000,AAPL,2026-02-06,170.00,put,0.00,0.01,0.00,0,0.31,82,0,12,2026-02-04,2.14166,-0.00082,0.00006,-0.03074,0.00057,-0.00001
AAPL260206C00175000,AAPL,2026-02-06,175.00,call,82.28,101.80,100.00,2,103.60,2,0,1,2026-02-04,2.89286,0.98758,0.00054,-0.49332,0.00659,0.00938
AAPL260206P00175000,AAPL,2026-02-06,175.00,put,0.00,0.01,0.00,0,0.05,28,0,50,2026-02-04,2.01483,-0.00084,0.00007,-0.02946,0.00059,-0.00001
AAPL260206C00180000,AAPL,2026-02-06,180.00,call,95.15,96.82,95.05,1,98.60,2,1,1,2026-02-04,2.76603,0.98608,0.00063,-0.52000,0.00727,0.00963
AAPL260206P00180000,AAPL,2026-02-06,180.00,put,0.00,0.01,0.00,0,0.33,185,0,120,2026-02-04,1.89776,-0.00088,0.00008,-0.02913,0.00061,-0.00001
AAPL260206C00185000,AAPL,2026-02-06,185.00,call,62.94,91.80,90.00,2,93.60,2,0,1,2026-02-04,2.58067,0.98610,0.00067,-0.48646,0.00726,0.00991
AAPL260206P00185000,AAPL,2026-02-06,185.00,put,0.00,0.01,0.00,0,0.01,2,0,622,2026-02-04,1.79044,-0.00097,0.00009,-0.02994,0.00067,-0.00002
AAPL260206C00190000,AAPL,2026-02-06,190.00,call,68.17,86.80,85.00,2,88.60,2,0,29,2026-02-04,2.42458,0.98541,0.00075,-0.47719,0.00757,0.01017
AAPL260206P00190000,AAPL,2026-02-06,190.00,put,0.00,0.01,0.00,0,0.41,123,0,1090,2026-02-04,1.67337,-0.00099,0.00010,-0.02863,0.00069,-0.00002
AAPL260206C00195000,AAPL,2026-02-06,195.00,call,73.78,81.80,80.00,2,83.60,1,0,2,2026-02-04,2.27824,0.98446,0.00084,-0.47410,0.00799,0.01043
AAPL260206P00195000,AAPL,2026-02-06,195.00,put,0.01,0.01,0.00,0,0.04,79,102,2500,2026-02-04,1.56606,-0.00106,0.00011,-0.02853,0.00073,-0.00002
